family_id,module_id,topic,status,proposed_split,notes
F101,M1,Shower parameter versus MSbar coupling,draft_starter,public_development,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F102,M1,Evidence-grounded source reading,draft_starter,public_development,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F103,M1,Branching ratio versus partial width,planned_not_written,public_development,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F104,M1,Fiducial versus inclusive observables,planned_not_written,private_test_candidate,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F105,M1,Cross section versus event yield,planned_not_written,private_test_candidate,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F106,M1,PDG scheme/scale and dated sources,planned_not_written,private_test_candidate,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F107,M1,Conflicting source claims,planned_not_written,private_test_candidate,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F108,M1,Unsupported discovery claim,planned_not_written,private_test_candidate,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F109,M1,Source-grounded detector specification,planned_not_written,private_test_candidate,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F110,M1,Knowledge versus supplied-corpus evidence,planned_not_written,private_test_candidate,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F111,M1,Missing acceptance information,planned_not_written,private_test_candidate,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F112,M1,Source citation entailment,planned_not_written,private_test_candidate,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F201,M2,Invariant mass and longitudinal boosts,draft_starter,public_development,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F202,M2,Tree-level QED angular integration,draft_starter,public_development,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F203,M2,Two-body decay kinematics,planned_not_written,public_development,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F204,M2,Rapidity versus pseudorapidity,planned_not_written,private_test_candidate,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F205,M2,QCD running within specified order,planned_not_written,private_test_candidate,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F206,M2,Color factors in a specified process,planned_not_written,private_test_candidate,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F207,M2,Dimensional analysis of EFT operators,planned_not_written,private_test_candidate,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F208,M2,Symmetry and selection rules,planned_not_written,private_test_candidate,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F209,M2,Soft/collinear limits,planned_not_written,private_test_candidate,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F210,M2,Threshold versus high-energy approximations,planned_not_written,private_test_candidate,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F211,M2,Amplitude interference,planned_not_written,private_test_candidate,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F212,M2,Renormalization scale and truncation assumptions,planned_not_written,private_test_candidate,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F301,M3,Tree QED topology,draft_starter,public_development,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F302,M3,Electron self-energy topology,draft_starter,public_development,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F303,M3,Crossing and external-state conventions,planned_not_written,public_development,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F304,M3,Charge and flavor conservation,planned_not_written,private_test_candidate,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F305,M3,Momentum routing at vertices,planned_not_written,private_test_candidate,Grouping/source independence must be checked before split freeze; no human expert validation yet.
F306,M3,Tree versus loop graph counting,planned_not_written,private_test_candidate,Grouping/source independence must be checked before split freeze; no human expert validation yet.
